num_images,method,param,model_type,accuracy
90,gaussian_20,20,modern,0.32222222222222224
90,gaussian_50,50,modern,0.3
90,eyes_censor,none,modern,0.25555555555555554
90,mosaic_5,5,modern,0.3333333333333333
90,mosaic_20,20,modern,0.32222222222222224
90,mosaic_50,50,modern,0.32222222222222224
100,original,none,modern,0.34
100,gaussian_5,5,modern,0.34
100,gaussian_20,20,modern,0.34
100,gaussian_50,50,modern,0.32
100,eyes_censor,none,modern,0.28
100,mosaic_5,5,modern,0.35
100,mosaic_20,20,modern,0.34
100,mosaic_50,50,modern,0.34
110,original,none,modern,0.3181818181818182
110,gaussian_5,5,modern,0.3090909090909091
110,gaussian_20,20,modern,0.3090909090909091
110,gaussian_50,50,modern,0.2909090909090909
110,eyes_censor,none,modern,0.2636363636363636
110,mosaic_5,5,modern,0.3181818181818182
110,mosaic_20,20,modern,0.3181818181818182
110,mosaic_50,50,modern,0.3181818181818182
120,original,none,modern,0.31666666666666665
120,gaussian_5,5,modern,0.3
120,gaussian_20,20,modern,0.3
120,gaussian_50,50,modern,0.2833333333333333
120,eyes_censor,none,modern,0.25
120,mosaic_5,5,modern,0.30833333333333335
120,mosaic_20,20,modern,0.30833333333333335
120,mosaic_50,50,modern,0.31666666666666665
140,original,none,modern,0.30714285714285716
140,gaussian_5,5,modern,0.2857142857142857
140,gaussian_20,20,modern,0.2642857142857143
140,gaussian_50,50,modern,0.24285714285714285
140,eyes_censor,none,modern,0.22142857142857142
140,mosaic_5,5,modern,0.3
140,mosaic_20,20,modern,0.29285714285714287
140,mosaic_50,50,modern,0.3
160,original,none,modern,0.2875
160,gaussian_5,5,modern,0.28125
160,gaussian_20,20,modern,0.2625
160,gaussian_50,50,modern,0.24375
160,eyes_censor,none,modern,0.2125
160,mosaic_5,5,modern,0.3
160,mosaic_20,20,modern,0.28125
160,mosaic_50,50,modern,0.2875
183,original,none,modern,0.2896174863387978
183,gaussian_5,5,modern,0.273224043715847
183,gaussian_20,20,modern,0.26229508196721313
183,gaussian_50,50,modern,0.24043715846994534
183,eyes_censor,none,modern,0.20218579234972678
183,mosaic_5,5,modern,0.29508196721311475
183,mosaic_20,20,modern,0.28415300546448086
183,mosaic_50,50,modern,0.28415300546448086
1,original,none,classical,1.0
2,original,none,classical,1.0
3,original,none,classical,0.3333333333333333
4,original,none,classical,1.0
5,original,none,classical,0.2
6,original,none,classical,0.3333333333333333
7,original,none,classical,0.14285714285714285
8,original,none,classical,0.125
9,original,none,classical,0.1111111111111111
10,original,none,classical,0.1
15,original,none,classical,0.06666666666666667
20,original,none,classical,0.05
