Number of Faces,5,20,35,50,65,80,95,110,125,140,155,170,185
Eyes censored,0.8,0.55,0.4,0.32,0.2615384615384615,0.25,0.2842105263157894,0.2636363636363636,0.256,0.2214285714285714,0.2193548387096774,0.2058823529411764,0.2010869565217391
Gaussian $\sigma$=5,1.0,0.6,0.4571428571428571,0.34,0.3230769230769231,0.3,0.3473684210526316,0.3090909090909091,0.304,0.2857142857142857,0.2838709677419355,0.2764705882352941,0.2717391304347826
Gaussian $\sigma$=20,0.8,0.6,0.4857142857142857,0.36,0.3076923076923077,0.3,0.3473684210526316,0.3090909090909091,0.304,0.2642857142857143,0.2645161290322581,0.2588235294117647,0.2608695652173913
Gaussian $\sigma$=50,0.8,0.6,0.4857142857142857,0.34,0.2923076923076923,0.275,0.3263157894736842,0.2909090909090909,0.28,0.2428571428571428,0.2451612903225806,0.2411764705882353,0.2391304347826087
Mosaic size=5,1.0,0.7,0.5428571428571428,0.42,0.3384615384615385,0.3125,0.3578947368421052,0.3181818181818182,0.312,0.3,0.3032258064516129,0.3,0.2934782608695652
Mosaic size=20,1.0,0.55,0.4285714285714285,0.34,0.3230769230769231,0.3,0.3473684210526316,0.3181818181818182,0.312,0.2928571428571428,0.2903225806451613,0.2823529411764706,0.2826086956521739
Mosaic size=50,1.0,0.55,0.4285714285714285,0.34,0.3230769230769231,0.3,0.3473684210526316,0.3181818181818182,0.32,0.3,0.2967741935483871,0.2823529411764706,0.2826086956521739
Original,1.0,0.55,0.4285714285714285,0.32,0.3230769230769231,0.3,0.3368421052631579,0.3090909090909091,0.32,0.3,0.2903225806451613,0.288235294117647,0.2880434782608695
