num_images,method,param,model_type,accuracy
1,gaussian_20,20,modern,1.0
2,gaussian_20,20,modern,1.0
3,gaussian_20,20,modern,1.0
4,gaussian_20,20,modern,1.0
5,gaussian_20,20,modern,0.8
6,gaussian_20,20,modern,0.8333333333333334
7,gaussian_20,20,modern,0.8571428571428571
8,gaussian_20,20,modern,0.875
9,gaussian_20,20,modern,0.8888888888888888
10,gaussian_20,20,modern,0.8
15,gaussian_20,20,modern,0.6
20,gaussian_20,20,modern,0.6
25,gaussian_20,20,modern,0.48
30,gaussian_20,20,modern,0.4666666666666667
35,gaussian_20,20,modern,0.4857142857142857
40,gaussian_20,20,modern,0.45
45,gaussian_20,20,modern,0.4
50,gaussian_20,20,modern,0.36
60,gaussian_20,20,modern,0.31666666666666665
70,gaussian_20,20,modern,0.3
80,gaussian_20,20,modern,0.3
90,gaussian_20,20,modern,0.32222222222222224
100,gaussian_20,20,modern,0.34
110,gaussian_20,20,modern,0.3090909090909091
120,gaussian_20,20,modern,0.3
140,gaussian_20,20,modern,0.2642857142857143
160,gaussian_20,20,modern,0.2625
183,gaussian_20,20,modern,0.26229508196721313
