num_images,method,param,model_type,accuracy
1,mosaic_20,20,modern,1.0
2,mosaic_20,20,modern,1.0
3,mosaic_20,20,modern,1.0
4,mosaic_20,20,modern,1.0
5,mosaic_20,20,modern,1.0
6,mosaic_20,20,modern,1.0
7,mosaic_20,20,modern,1.0
8,mosaic_20,20,modern,1.0
9,mosaic_20,20,modern,1.0
10,mosaic_20,20,modern,0.9
15,mosaic_20,20,modern,0.6
20,mosaic_20,20,modern,0.55
25,mosaic_20,20,modern,0.44
30,mosaic_20,20,modern,0.43333333333333335
35,mosaic_20,20,modern,0.42857142857142855
40,mosaic_20,20,modern,0.4
45,mosaic_20,20,modern,0.37777777777777777
50,mosaic_20,20,modern,0.34
60,mosaic_20,20,modern,0.3333333333333333
70,mosaic_20,20,modern,0.3
80,mosaic_20,20,modern,0.3
90,mosaic_20,20,modern,0.32222222222222224
100,mosaic_20,20,modern,0.34
110,mosaic_20,20,modern,0.3181818181818182
120,mosaic_20,20,modern,0.30833333333333335
140,mosaic_20,20,modern,0.29285714285714287
160,mosaic_20,20,modern,0.28125
183,mosaic_20,20,modern,0.28415300546448086
