num_images,method,param,model_type,accuracy
1,mosaic_50,50,modern,1.0
2,mosaic_50,50,modern,1.0
3,mosaic_50,50,modern,1.0
4,mosaic_50,50,modern,1.0
5,mosaic_50,50,modern,1.0
6,mosaic_50,50,modern,1.0
7,mosaic_50,50,modern,1.0
8,mosaic_50,50,modern,1.0
9,mosaic_50,50,modern,1.0
10,mosaic_50,50,modern,0.9
15,mosaic_50,50,modern,0.6
20,mosaic_50,50,modern,0.55
25,mosaic_50,50,modern,0.44
30,mosaic_50,50,modern,0.43333333333333335
35,mosaic_50,50,modern,0.42857142857142855
40,mosaic_50,50,modern,0.4
45,mosaic_50,50,modern,0.37777777777777777
50,mosaic_50,50,modern,0.34
60,mosaic_50,50,modern,0.3333333333333333
70,mosaic_50,50,modern,0.3
80,mosaic_50,50,modern,0.3
90,mosaic_50,50,modern,0.32222222222222224
100,mosaic_50,50,modern,0.34
110,mosaic_50,50,modern,0.3181818181818182
120,mosaic_50,50,modern,0.31666666666666665
140,mosaic_50,50,modern,0.3
160,mosaic_50,50,modern,0.2875
183,mosaic_50,50,modern,0.28415300546448086
