x,eyes_censor,gaussian_20,gaussian_5,gaussian_50,mosaic_20,mosaic_5,mosaic_50,original
5,0.8,0.8,1.0,0.8,1.0,1.0,1.0,1.0
10,0.8,0.8,0.9,0.8,0.9,0.9,0.9,0.9
15,0.6,0.6,0.6,0.6,0.6,0.7333333333333333,0.6,0.6
20,0.55,0.6,0.6,0.6,0.55,0.7,0.55,0.55
25,0.4,0.48,0.48,0.48,0.44,0.56,0.44,0.44
30,0.3666666666666666,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.4333333333333333,0.5333333333333333,0.4333333333333333,0.4333333333333333
35,0.4,0.4857142857142857,0.4571428571428571,0.4857142857142857,0.4285714285714285,0.5428571428571428,0.4285714285714285,0.4285714285714285
40,0.4,0.45,0.425,0.45,0.4,0.5,0.4,0.4
45,0.3555555555555555,0.4,0.3777777777777777,0.3777777777777777,0.3777777777777777,0.4444444444444444,0.3777777777777777,0.3555555555555555
50,0.32,0.36,0.34,0.34,0.34,0.42,0.34,0.32
55,0.3090909090909091,0.3454545454545454,0.3454545454545454,0.3272727272727272,0.3454545454545454,0.3818181818181818,0.3454545454545454,0.3272727272727272
60,0.2833333333333333,0.3166666666666666,0.3333333333333333,0.3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3166666666666666
65,0.2615384615384615,0.3076923076923077,0.3230769230769231,0.2923076923076923,0.3230769230769231,0.3384615384615385,0.3230769230769231,0.3230769230769231
70,0.2571428571428571,0.3,0.3,0.2857142857142857,0.3,0.3,0.3,0.3
75,0.2533333333333333,0.3066666666666666,0.3066666666666666,0.2933333333333333,0.3066666666666666,0.3066666666666666,0.3066666666666666,0.3066666666666666
80,0.25,0.3,0.3,0.275,0.3,0.3125,0.3,0.3
85,0.2588235294117647,0.3176470588235294,0.3176470588235294,0.2941176470588235,0.3176470588235294,0.3176470588235294,0.3176470588235294,0.3058823529411765
90,0.2555555555555555,0.3222222222222222,0.3222222222222222,0.3,0.3222222222222222,0.3333333333333333,0.3222222222222222,0.3111111111111111
95,0.2842105263157894,0.3473684210526316,0.3473684210526316,0.3263157894736842,0.3473684210526316,0.3578947368421052,0.3473684210526316,0.3368421052631579
100,0.28,0.34,0.34,0.32,0.34,0.35,0.34,0.33
105,0.2761904761904762,0.3333333333333333,0.3333333333333333,0.3142857142857143,0.3333333333333333,0.3428571428571428,0.3333333333333333,0.3238095238095238
110,0.2636363636363636,0.3090909090909091,0.3090909090909091,0.2909090909090909,0.3181818181818182,0.3181818181818182,0.3181818181818182,0.3090909090909091
115,0.2608695652173913,0.3043478260869565,0.3043478260869565,0.2869565217391304,0.3130434782608696,0.3130434782608696,0.3130434782608696,0.3043478260869565
120,0.25,0.3,0.3,0.2833333333333333,0.3083333333333333,0.3083333333333333,0.3166666666666666,0.3083333333333333
125,0.256,0.304,0.304,0.28,0.312,0.312,0.32,0.32
130,0.2384615384615384,0.2846153846153846,0.3,0.2615384615384615,0.3076923076923077,0.3153846153846154,0.3153846153846154,0.3153846153846154
135,0.2296296296296296,0.2740740740740741,0.2962962962962963,0.2518518518518518,0.3037037037037037,0.3111111111111111,0.3111111111111111,0.3111111111111111
140,0.2214285714285714,0.2642857142857143,0.2857142857142857,0.2428571428571428,0.2928571428571428,0.3,0.3,0.3
145,0.2137931034482758,0.2551724137931034,0.2758620689655172,0.2413793103448276,0.2827586206896552,0.296551724137931,0.2896551724137931,0.2827586206896552
150,0.22,0.26,0.28,0.24,0.2866666666666667,0.3,0.2933333333333333,0.2866666666666667
155,0.2193548387096774,0.2645161290322581,0.2838709677419355,0.2451612903225806,0.2903225806451613,0.3032258064516129,0.2967741935483871,0.2903225806451613
160,0.2125,0.2625,0.28125,0.24375,0.28125,0.3,0.2875,0.2875
165,0.206060606060606,0.2545454545454545,0.2727272727272727,0.2363636363636363,0.2787878787878788,0.296969696969697,0.2787878787878788,0.2848484848484848
170,0.2058823529411764,0.2588235294117647,0.2764705882352941,0.2411764705882353,0.2823529411764706,0.3,0.2823529411764706,0.288235294117647
175,0.2057142857142857,0.2571428571428571,0.2742857142857143,0.24,0.28,0.2971428571428571,0.28,0.2857142857142857
180,0.2,0.2555555555555555,0.2666666666666666,0.2333333333333333,0.2777777777777778,0.2888888888888888,0.2777777777777778,0.2833333333333333
185,0.2010869565217391,0.2608695652173913,0.2717391304347826,0.2391304347826087,0.2826086956521739,0.2934782608695652,0.2826086956521739,0.2880434782608695
